model_name,pathogen,pathogen_short,antibiotic,mean_f1_macro,std_f1_macro
ResFinder,escherichia_coli,e_coli,cefepime,0.77,0.0
ResFinder,escherichia_coli,e_coli,cefotaxime,0.92,0.0
ResFinder,escherichia_coli,e_coli,imipenem,0.95,0.0
ResFinder,klebsiella_pneumoniae,k_pneumoniae,meropenem,0.79,0.0
ResFinder,klebsiella_pneumoniae,k_pneumoniae,tobramycin,0.95,0.0
ResFinder,acinetobacter_baumannii,a_baumannii,ceftazidime,0.31,0.0
ResFinder,acinetobacter_baumannii,a_baumannii,ciprofloxacin,0.26,0.0
ResFinder,staphylococcus_aureus,s_aureus,erythromycin,0.96,0.0
ResFinder,pseudomonas_aeruginosa,p_aeruginosa,aztreonam,0.47,0.0
ResFinder,pseudomonas_aeruginosa,p_aeruginosa,cefepime,0.27,0.0
Aytan-Aktug,escherichia_coli,e_coli,cefepime,0.6732619342455906,0.0782780577753924
Aytan-Aktug,escherichia_coli,e_coli,cefotaxime,0.6341645228161955,0.063760129579913
Aytan-Aktug,escherichia_coli,e_coli,imipenem,0.5947903031986839,0.1483498745172661
Aytan-Aktug,klebsiella_pneumoniae,k_pneumoniae,meropenem,0.5967407632397471,0.1679507255620856
Aytan-Aktug,klebsiella_pneumoniae,k_pneumoniae,tobramycin,0.8627427772344292,0.0729814399656859
Aytan-Aktug,acinetobacter_baumannii,a_baumannii,ceftazidime,0.8435383227458831,0.0827874029756374
Aytan-Aktug,acinetobacter_baumannii,a_baumannii,ciprofloxacin,0.8656456747995382,0.0447860824878193
Aytan-Aktug,staphylococcus_aureus,s_aureus,erythromycin,0.5573829969257331,0.1297156320647504
Aytan-Aktug,pseudomonas_aeruginosa,p_aeruginosa,aztreonam,0.5318572668844901,0.1390696112720791
Aytan-Aktug,pseudomonas_aeruginosa,p_aeruginosa,cefepime,0.6945534729318223,0.1992529728058854
